signature_length;signature;subsig_to;subsig_from;tail_to;tail_from;cross_edges_count;multinomial_to;multinomial_from;ratio;cross_edge
3;(2, 2, 2);(0, 2, 2);(1, 2, 1);(0, 0);(2, 0);1;6;12;1/12;((1, 2, 1, 0, 2, 0), (2, 1, 1, 0, 2, 0))
3;(2, 2, 2);(1, 1, 2);(0, 2, 2);(1, 0);(0, 0);1;12;6;1/6;((1, 2, 2, 1, 0, 0), (2, 1, 2, 1, 0, 0))
3;(2, 2, 2);(1, 2, 1);(2, 2);(0, 2);(2, 2);1;12;6;1/6;((0, 1, 1, 0, 2, 2), (1, 0, 1, 0, 2, 2))
3;(2, 2, 2);(2, 0, 2);(1, 1, 2);(1, 1);(0, 1);1;6;12;1/12;((2, 0, 2, 1, 0, 1), (0, 2, 2, 1, 0, 1))
3;(2, 2, 2);(2, 1, 1);(2, 0, 2);(2, 1);(1, 1);1;12;6;1/6;((2, 0, 0, 2, 1, 1), (0, 2, 0, 2, 1, 1))
3;(2, 2, 2);(2, 2);(2, 1, 1);(2, 2);(1, 2);1;6;12;1/12;((0, 1, 0, 2, 1, 2), (1, 0, 0, 2, 1, 2))
3;(3, 3, 2);(1, 3, 2);(2, 2, 2);(0, 0);(1, 0);6;60;90;1/15;((0, 1, 1, 2, 2, 0, 1, 0), (1, 0, 1, 2, 2, 0, 1, 0))
3;(3, 3, 2);(2, 2, 2);(2, 3, 1);(1, 0);(2, 0);8;90;60;2/15;((0, 0, 2, 1, 1, 1, 2, 0), (0, 0, 1, 2, 1, 1, 2, 0))
3;(3, 3, 2);(2, 3, 1);(1, 3, 2);(2, 0);(0, 0);9;60;60;3/20;((0, 1, 1, 1, 2, 2, 0, 0), (0, 1, 1, 2, 1, 2, 0, 0))
3;(3, 3, 2);(2, 3, 2);(3, 3, 1);(0,);(2,);54;210;140;27/70;((0, 0, 1, 1, 1, 2, 0, 2), (0, 0, 1, 1, 2, 1, 0, 2))
3;(3, 3, 2);(3, 2, 1);(2, 2, 2);(2, 1);(0, 1);13;60;90;13/90;((0, 0, 2, 1, 1, 2, 0, 1), (0, 2, 0, 1, 1, 2, 0, 1))
3;(3, 3, 2);(3, 2, 1);(3, 1, 2);(2, 1);(1, 1);9;60;60;3/20;((0, 0, 0, 2, 1, 2, 1, 1), (0, 0, 0, 1, 2, 2, 1, 1))
3;(3, 3, 3);(2, 3, 3);(3, 3, 2);(0,);(2,);117;560;560;117/560;((0, 0, 1, 1, 1, 2, 2, 0, 2), (0, 1, 0, 1, 1, 2, 2, 0, 2))
3;(3, 3, 3);(3, 2, 3);(2, 3, 3);(1,);(0,);134;560;560;67/280;((0, 0, 1, 1, 2, 2, 2, 1, 0), (0, 0, 1, 2, 1, 2, 2, 1, 0))
3;(3, 3, 3);(3, 3, 2);(3, 2, 3);(2,);(1,);162;560;560;81/280;((0, 0, 0, 1, 1, 2, 2, 2, 1), (0, 0, 0, 1, 2, 1, 2, 2, 1))
3;(3, 3, 4);(2, 3, 4);(3, 3, 3);(0,);(2,);556;1260;1680;139/420;((0, 0, 1, 1, 1, 2, 2, 2, 0, 2), (0, 0, 1, 1, 2, 1, 2, 2, 0, 2))
3;(4, 2, 2);(2, 2, 2);(3, 2, 1);(0, 0);(2, 0);21;90;60;7/20;((0, 0, 1, 2, 1, 0, 2, 0), (0, 0, 2, 1, 1, 0, 2, 0))
